date,pm25
01-01-2018 00:00,423
01-01-2018 01:00,414
01-01-2018 02:00,417
01-01-2018 03:00,466
01-01-2018 04:00,470
01-01-2018 05:00,449
01-01-2018 06:00,404
01-01-2018 07:00,380
01-01-2018 08:00,371
01-01-2018 09:00,332
01-01-2018 10:00,336
01-01-2018 11:00,382
01-01-2018 12:00,411
01-01-2018 13:00,426
01-01-2018 14:00,420
01-01-2018 15:00,330
01-01-2018 16:00,320
01-01-2018 17:00,301
01-01-2018 18:00,386
01-01-2018 19:00,480
01-01-2018 20:00,472
01-01-2018 21:00,444
01-01-2018 22:00,438
01-01-2018 23:00,448
02-01-2018 00:00,492
02-01-2018 01:00,446
02-01-2018 02:00,341
02-01-2018 03:00,342
02-01-2018 04:00,337
02-01-2018 05:00,362
02-01-2018 06:00,384
02-01-2018 07:00,394
02-01-2018 08:00,364
02-01-2018 09:00,350
02-01-2018 10:00,348
02-01-2018 11:00,367
02-01-2018 12:00,367
02-01-2018 13:00,365
02-01-2018 14:00,404
02-01-2018 15:00,380
02-01-2018 16:00,351
02-01-2018 17:00,333
02-01-2018 18:00,357
02-01-2018 19:00,356
02-01-2018 20:00,365
02-01-2018 21:00,423
02-01-2018 22:00,445
02-01-2018 23:00,439
03-01-2018 00:00,362
03-01-2018 01:00,360
03-01-2018 02:00,324
03-01-2018 03:00,346
03-01-2018 04:00,321
03-01-2018 05:00,311
03-01-2018 06:00,310
03-01-2018 07:00,316
03-01-2018 08:00,300
03-01-2018 09:00,301
03-01-2018 10:00,321
03-01-2018 11:00,338
03-01-2018 12:00,359
03-01-2018 13:00,365
03-01-2018 14:00,343
03-01-2018 15:00,334
03-01-2018 16:00,375
03-01-2018 17:00,364
03-01-2018 18:00,367
03-01-2018 19:00,361
03-01-2018 20:00,393
03-01-2018 21:00,333
03-01-2018 22:00,315
03-01-2018 23:00,316
04-01-2018 00:00,373
04-01-2018 01:00,329
04-01-2018 02:00,301
04-01-2018 03:00,143
04-01-2018 04:00,150
04-01-2018 05:00,171
04-01-2018 06:00,170
04-01-2018 07:00,204
04-01-2018 08:00,178
04-01-2018 09:00,158
04-01-2018 10:00,190
04-01-2018 11:00,305
04-01-2018 12:00,325
04-01-2018 13:00,399
04-01-2018 14:00,388
04-01-2018 15:00,345
04-01-2018 16:00,364
04-01-2018 17:00,470
04-01-2018 18:00,416
04-01-2018 19:00,393
04-01-2018 20:00,387
04-01-2018 21:00,376
04-01-2018 22:00,409
04-01-2018 23:00,420
05-01-2018 00:00,437
05-01-2018 01:00,391
05-01-2018 02:00,346
05-01-2018 03:00,329
05-01-2018 04:00,341
05-01-2018 05:00,353
05-01-2018 06:00,326
05-01-2018 07:00,335
05-01-2018 08:00,323
05-01-2018 09:00,319
05-01-2018 10:00,320
05-01-2018 11:00,354
05-01-2018 12:00,359
05-01-2018 13:00,341
05-01-2018 14:00,294
05-01-2018 15:00,171
05-01-2018 16:00,170
05-01-2018 17:00,414
05-01-2018 18:00,379
05-01-2018 19:00,358
05-01-2018 20:00,368
05-01-2018 21:00,375
05-01-2018 22:00,386
05-01-2018 23:00,412
06-01-2018 00:00,409
06-01-2018 01:00,410
06-01-2018 02:00,346
06-01-2018 03:00,241
06-01-2018 04:00,346
06-01-2018 05:00,357
06-01-2018 06:00,345
06-01-2018 07:00,359
06-01-2018 08:00,371
06-01-2018 09:00,327
06-01-2018 10:00,318
06-01-2018 11:00,320
06-01-2018 12:00,345
06-01-2018 13:00,353
06-01-2018 14:00,398
06-01-2018 15:00,415
06-01-2018 16:00,356
06-01-2018 17:00,327
06-01-2018 18:00,250
06-01-2018 19:00,245
06-01-2018 20:00,322
06-01-2018 21:00,348
06-01-2018 22:00,403
06-01-2018 23:00,452
07-01-2018 00:00,431
07-01-2018 01:00,370
07-01-2018 02:00,412
07-01-2018 03:00,354
07-01-2018 04:00,308
07-01-2018 05:00,364
07-01-2018 06:00,375
07-01-2018 07:00,388
07-01-2018 08:00,348
07-01-2018 09:00,322
07-01-2018 10:00,169
07-01-2018 11:00,225
07-01-2018 12:00,260
07-01-2018 13:00,242
07-01-2018 14:00,79
07-01-2018 15:00,58
07-01-2018 16:00,77
07-01-2018 17:00,76
07-01-2018 18:00,86
07-01-2018 19:00,106
07-01-2018 20:00,301
07-01-2018 21:00,398
07-01-2018 22:00,404
07-01-2018 23:00,374
08-01-2018 00:00,334
08-01-2018 01:00,323
08-01-2018 02:00,349
08-01-2018 03:00,356
08-01-2018 04:00,344
08-01-2018 05:00,355
08-01-2018 06:00,334
08-01-2018 07:00,340
08-01-2018 08:00,289
